CHR	START	STOP	GENE	PGXt6.best.score.totallist	PGXt31.best.score.totallist	PGXt13.best.score.totallist	PGXt9.best.score.totallist	PGXt14.best.score.totallist	PGXt24.best.score.totallist	PGXt17.best.score.totallist	PGXt27.best.score.totallist	PGXt2.best.score.totallist	PGXt32.best.score.totallist	PGXt37.best.score.totallist	PGXt39.best.score.totallist	PGXt4.best.score.totallist	PGXt34.best.score.totallist	PGXt15.best.score.totallist	PGXt22.best.score.totallist	PGXt21.best.score.totallist	PGXt28.best.score.totallist	PGXt18.best.score.totallist	PGXt16.best.score.totallist	PGXt38.best.score.totallist	PGXt36.best.score.totallist	PGXt10.best.score.totallist	PGXt7.best.score.totallist	PGXt25.best.score.totallist	PGXt20.best.score.totallist	PGXt40.best.score.totallist	PGXt19.best.score.totallist	PGXt5.best.score.totallist	PGXt35.best.score.totallist	PGXt30.best.score.totallist	PGXt8.best.score.totallist	PGXt26.best.score.totallist	PGXt12.best.score.totallist	PGXt3.best.score.totallist
chr10	94645665	94645767	UNKNOWN10	0.0433965503759795	0.0423582863909848	0.0423859617277274	0.0370255065849357	0.0418311283519237	0.0425724504063485	0.0422711951737243	0.0429848895176161	0.0416152148535314	0.0425093464502004	0.0415763875279234	0.0427513328668992	0.0421588575252515	0.0403143274231203	0.0380088820415288	0.0423312780424575	0.0438955801405695	0.0429607257979548	0.041906993814491	0.0423872028589279	0.0378443210679137	0.0358375375791126	0.041414621911131	0.0420486120886688	0.0404807070216056	0.0437005780343729	0.0431047515130408	0.0415834344275965	0.0411055743576445	0.0402579452671452	0.0419090913841285	0.0410896513959324	0.0421530776058053	0.0437835165167369	0.0418658560756053
chr10	94761842	94761944	UNKNOWN10	0.0237851504969194	0.025624576571088	0.0271686494596171	0.0270607415607358	0.0236873890656406	0.0235502518320496	0.0269173293706735	0.0269612479240479	0.026538010775408	0.0253161652907695	0.0273717427260274	0.0272918235552363	0.0271342059325164	0.0236034128273812	0.0305378498716589	0.0253159110127768	0.0235662652988647	0.0265550156509594	0.027088805711427	0.0271071294649659	0.0305836358911096	0.0301435334039027	0.0251515007793734	0.0242070992494381	0.0273788313052366	0.0235709472470637	0.0272617348578329	0.0251561889709685	0.0268948120218964	0.0236498743874771	0.0259154539106039	0.0268945340277023	0.0270160384434628	0.0234499863891155	0.0271455324153383
chr10	94762678	94762874	CYP2C19	0.0256679883282903	0.0238876766208497	0.0247965122075047	0.0237182017510483	0.0255648772415719	0.024743071237379	0.0249353386661797	0.0239616225023038	0.0241534534060566	0.0247597157531954	0.0246646345671724	0.024811236940478	0.0248905038086385	0.0259691290268114	0.0212972992394442	0.0251003709449103	0.0249051037487389	0.0241534472908544	0.0242718987778395	0.0250560070542329	0.0218505425531476	0.0206067527207672	0.0248078989188672	0.0245946284881911	0.0242599309647132	0.024895252037433	0.0246139541063812	0.0249873831378739	0.0234870844232782	0.0267451825709458	0.023997722107863	0.0241332037699985	0.0240642908800605	0.0256020799220146	0.0250551192860446
chr10	94775102	94775204	CYP2C19	0.0260136664422281	0.0266237261037884	0.0254551854562126	0.0248397127191865	0.0260268278161603	0.0229144758291157	0.0243091844537991	0.0266392830497022	0.0265057012735627	0.0246323584829996	0.0256686676599043	0.0249611152638095	0.0251384960616001	0.0280439013094107	0.0262824230486375	0.0246838173151379	0.0225510385989904	0.0263879021384422	0.0268505681521351	0.0247542282344435	0.0264501534031654	0.0224812158216319	0.0247270940837869	0.0245281605815188	0.0268042372524774	0.0227226145133627	0.0249242737624098	0.0250946449345085	0.0250066025554225	0.0289063185046927	0.0268635320256942	0.0247756969468972	0.0256824933028241	0.0260598685302228	0.0253004762185687
chr10	94775356	94775484	CYP2C19	0.0277859545061509	0.0288882964927206	0.0280814443455162	0.0280077388508845	0.0277321795861115	0.0238167381109569	0.0265722493077923	0.0284258295345271	0.0287694863219146	0.0247268664636656	0.027486064237358	0.0258942546463085	0.0279631862970847	0.0311770375357138	0.0299235683633392	0.0260038657888805	0.0224794328668916	0.0279111451094724	0.0290124415656919	0.0271969212364877	0.029918244993877	0.0257638561061888	0.0276496356139897	0.0260120253700329	0.028750740624157	0.0226747117490758	0.0263292545607397	0.0277994411294367	0.0280375880628777	0.0311908074718307	0.0289578140119113	0.0279722773578161	0.0288797938533923	0.0277153753820323	0.0272165058672718
chr10	94775505	94775607	CYP2C19	0.0257015898267795	0.0261674469127224	0.0247518217830301	0.0246512764110916	0.0255755117925852	0.0217961431222166	0.0228457854257373	0.0249604517078776	0.0261590889553575	0.0222610870168079	0.0243517207255384	0.0236914170605666	0.0245704282996775	0.0294811762546266	0.0265598215619072	0.023024420360093	0.02077790287049	0.0257549692857582	0.0260650758547571	0.0243312283418947	0.0266387418800047	0.0211693920634888	0.0237408677512369	0.0229845635752886	0.0258855402035926	0.0210481322547165	0.0237730761543782	0.0239693753148141	0.0246239906411041	0.0292594107808477	0.026166392487098	0.024506937649797	0.0260589096650385	0.0257193874960518	0.0246469131918131
chr10	94780549	94780752	CYP2C19	0.0201479692885217	0.0243511183355894	0.0280394487677566	0.0280383893988553	0.0200513802728149	0.0194142731152776	0.0277423106923481	0.0241817179787203	0.0238173334135732	0.0234995498925379	0.0275774653493684	0.027370672483241	0.0280253210093078	0.0248875477112891	0.0297423183690877	0.0234998306023128	0.0197268272613208	0.0240809734172968	0.0247753038536594	0.02746294207874	0.0297427860536935	0.0288647108419549	0.024544546922852	0.0234968152630739	0.0246517433400301	0.0197182597716831	0.0271854060770376	0.0246365020375428	0.0279785552324785	0.0236149432586707	0.0242350126997695	0.0278261740139231	0.0245621388926193	0.0201877260505317	0.0280295765777379
chr10	94781817	94781982	CYP2C19	0.0452760893349662	0.0504700189347183	0.0492266807456193	0.0491013504746045	0.045359328450425	0.0376674494909491	0.049349038572292	0.0512798376471409	0.0487964384148765	0.0440064131455154	0.0475079452448866	0.0497797281542622	0.0492994351434157	0.0472030677164161	0.0567617114866144	0.0432092253922772	0.0405357724727642	0.0511726688893374	0.0512204176067477	0.0482718053639597	0.0568748732763198	0.0535802126591195	0.0427250303403611	0.044020493333617	0.0511290625652368	0.0399820220119274	0.050358058162244	0.0429900959102438	0.0492427315953337	0.0459131520289268	0.0499854279177446	0.0492417581041649	0.0507308421752463	0.0453786143294472	0.0492009887966322
chr10	94781987	94782089	CYP2C19	0.0244282649809835	0.0245189582442168	0.0240468187913245	0.0237495091840538	0.0242546468551919	0.0246677193347712	0.02411421107476	0.0244509998582154	0.024027633684326	0.0248035428553536	0.0233701380884039	0.0252633142774836	0.0242654548533441	0.0231684578250384	0.0250178039550542	0.0247949727916774	0.0254415103660624	0.0247725175547187	0.0249735022720513	0.0233607628111296	0.0251375743259485	0.0252259550527457	0.0240717264384335	0.0246013446517621	0.0249982624459167	0.0252790352318603	0.0251433357877516	0.0238857305386445	0.0239829298159236	0.0231120241643756	0.0234643759544183	0.0237511822886162	0.0241700681543345	0.0240510109299767	0.0241271053542744
chr10	94842783	94842885	CYP2C19	0.0269651676278899	0.0255189341488879	0.0265628515354047	0.0242627486723687	0.0269681488392622	0.0270386040623389	0.0266345111269355	0.0259832020170258	0.0257636571590963	0.0273675360793445	0.0264417705475557	0.0268815037316179	0.0265830448025691	0.0269383121500008	0.0219092748629417	0.0272664811469605	0.0271619580284771	0.025702032069723	0.0255128472431989	0.0266972512481812	0.0223259019596102	0.0216444038903475	0.0269045686555183	0.0267863800593717	0.0259542356095956	0.0269267308312529	0.0269365159492638	0.027125778254683	0.025482453180319	0.0277732755255592	0.0252332743278994	0.0253011270303416	0.0254077438741414	0.0268412831835622	0.0267010689496449
