CHR	START	STOP	GENE	PGXt4.aligned.only.best.score.totallist	PGXt2.aligned.only.best.score.totallist	PGXt12.aligned.only.best.score.totallist	PGXt8.aligned.only.best.score.totallist	PGXt40.aligned.only.best.score.totallist	PGXt10.aligned.only.best.score.totallist	PGXt17.aligned.only.best.score.totallist	PGXt30.aligned.only.best.score.totallist	PGXt18.aligned.only.best.score.totallist	PGXt19.aligned.only.best.score.totallist	PGXt5.aligned.only.best.score.totallist	PGXt25.aligned.only.best.score.totallist	PGXt39.aligned.only.best.score.totallist	PGXt34.aligned.only.best.score.totallist	PGXt24.aligned.only.best.score.totallist	PGXt35.aligned.only.best.score.totallist	PGXt26.aligned.only.best.score.totallist	PGXt7.aligned.only.best.score.totallist	PGXt38.aligned.only.best.score.totallist	PGXt13.aligned.only.best.score.totallist	PGXt36.aligned.only.best.score.totallist	PGXt16.aligned.only.best.score.totallist	PGXt21.aligned.only.best.score.totallist	PGXt28.aligned.only.best.score.totallist	PGXt22.aligned.only.best.score.totallist	PGXt9.aligned.only.best.score.totallist	PGXt27.aligned.only.best.score.totallist	PGXt31.aligned.only.best.score.totallist	PGXt20.aligned.only.best.score.totallist	PGXt14.aligned.only.best.score.totallist	PGXt37.aligned.only.best.score.totallist	PGXt6.aligned.only.best.score.totallist	PGXt32.aligned.only.best.score.totallist	PGXt3.aligned.only.best.score.totallist	PGXt15.aligned.only.best.score.totallist
chr10	94645665	94645767	UNKNOWN10	0.04481123902814	0.0404332477558602	0.0456248774332227	0.0436010588983472	0.0458149679067605	0.0439044439868137	0.0449071298110232	0.0404674948240318	0.0397043681600739	0.0439874345958165	0.0435966294210131	0.0430614789652078	0.0453003947815347	0.042732176001038	0.0458320650423236	0.0426343219491943	0.0409292501151555	0.0446365005632403	0.0399178247151987	0.0449845901078339	0.0411375199260076	0.0449862721147543	0.0448580819053615	0.0414539084971297	0.044970636482248	0.0390572842278682	0.0414374480102485	0.041326039299487	0.0462346804559587	0.0397559210684628	0.0441354464667679	0.0452547002107589	0.0458358013631832	0.0443350922373443	0.0401315673865876
chr10	94761842	94761944	UNKNOWN10	0.0249407415725285	0.0317334127292674	0.0267509636819997	0.0247283071732226	0.0257035617563927	0.0244869177840647	0.0246520142305624	0.0282150675378649	0.0272812312039065	0.0244913728816726	0.0247188176047571	0.0271978855840401	0.0257404465697759	0.0215765686072929	0.0257138202549633	0.0226426503702965	0.0302594993305316	0.0240296238176618	0.0291459468432525	0.025002248472688	0.0291331532239859	0.0248677635657649	0.0237124575185191	0.0318915487210049	0.025299454394532	0.0249247808962089	0.0321402919175836	0.0316738817887472	0.0240562109912109	0.0303407758876915	0.0257008590507332	0.0268615268335535	0.0256975859318257	0.0249846684247604	0.0291400971272474
chr10	94762678	94762874	CYP2C19	0.0248364427873557	0.0283802912855292	0.0239491672688654	0.0239270076712647	0.0246198133474881	0.0248345797502586	0.0249535215593264	0.0264454864869826	0.0242602174947986	0.0250093272891053	0.023395983022797	0.0239766087710858	0.0248343756600985	0.0257499764708247	0.02521205081099	0.0264877636867829	0.0265482184298796	0.0246080306906752	0.0214385790277914	0.0248854385555603	0.0269991701957472	0.0250211299680808	0.0249240375150831	0.0284192816822992	0.0251920667037131	0.0236730390824331	0.0283245176379374	0.0283456976725455	0.0250745429863736	0.0266441229336438	0.0245823852694005	0.0239879950605954	0.0250979980045523	0.0250190862546677	0.0210684246279398
chr10	94775102	94775204	CYP2C19	0.0264403970541644	0.0301348161549669	0.0277335850795615	0.0264456387233647	0.026341469468798	0.0257592121673828	0.0254820623136562	0.0285363400682511	0.0273806826246342	0.0261497830554861	0.0265822871408288	0.0276790762490943	0.02644104390971	0.0292345728624168	0.0251752382927242	0.0295598932478266	0.0276784889764074	0.0255880216595851	0.027716797719926	0.0269337392495156	0.0316720955098371	0.0258337845633549	0.0237186048749996	0.0301264805485693	0.025692278727019	0.0263280976527979	0.0302896133197213	0.0303643342269215	0.02390724974586	0.0285318901374977	0.0272419826108893	0.0277153911873355	0.0250483083867283	0.0268350093219516	0.027550270308568
chr10	94775356	94775484	CYP2C19	0.0284994192816722	0.0322572225515347	0.0292069599989903	0.0284974304740756	0.0265748382608301	0.0283308425295451	0.0271385597857357	0.031627687166354	0.0291134636599688	0.0284546120718791	0.0285262180149411	0.0289779652167572	0.0260950546642837	0.0314970303049818	0.0246670662005939	0.0315365737533817	0.0315759272555026	0.0264178299755843	0.029982139365394	0.0285868432819746	0.031279503450384	0.0277278967872206	0.0243595009794493	0.0317415466087346	0.026418428831714	0.0285056211806118	0.0320703977157743	0.0321987838439821	0.0234496931162324	0.0316254800626919	0.0277350900260339	0.0292065996004713	0.0233319085055467	0.0276027724383973	0.0299279509881037
chr10	94775505	94775607	CYP2C19	0.0244499150648572	0.0302652175576163	0.0248463909845719	0.0241564336703437	0.0235672676650756	0.0238135894867054	0.0225921770697214	0.0279878605018788	0.0249471907105031	0.0240264143379143	0.0243288100210465	0.0244845540633329	0.0234490443808474	0.0286227747170494	0.0223741564231786	0.0284848122632262	0.0279561132037319	0.0230041631575995	0.0252104538830862	0.0245845847117917	0.0263543011172207	0.0243276318433408	0.021698147684249	0.03010295667739	0.0230082882360503	0.0244658808338131	0.0295923044864264	0.0302731171084919	0.0212260644393364	0.0276833428190479	0.0241024917191716	0.0248252949794368	0.0216066594422439	0.0245275485604991	0.0249541931978344
chr10	94780549	94780752	CYP2C19	0.0283839401802167	0.0319928434280926	0.0243371299632148	0.0281093770991671	0.0275753949321899	0.0248326778696728	0.0279694866574181	0.0300062821311012	0.0247394460904542	0.0248963476518583	0.0282638437478987	0.0244206171017216	0.0277575387398424	0.0252263126875737	0.0235698561815793	0.0238132666621147	0.030199591624574	0.0238174558231867	0.0296070774395285	0.028378402854383	0.0287618572421978	0.0278861163902079	0.0198940537559211	0.032141025270896	0.0238310779257001	0.0283675269788166	0.0322135449628043	0.0322295719658301	0.0202550008077318	0.0301997217002132	0.0278205778545974	0.0243207572777733	0.0235772628755017	0.0283753926646094	0.0296059503865053
chr10	94781817	94781982	CYP2C19	0.0486861254331403	0.05092988860353	0.0505031532345308	0.048625093530595	0.0495805761215806	0.0425926499232577	0.0487665469591722	0.0505274451094377	0.0502881329924621	0.0428229547271734	0.0485613359694281	0.0504260748991288	0.0488653327570213	0.0467043195683166	0.0437114557250574	0.0454333018294087	0.0509149552370638	0.0435309589140917	0.0557992262766767	0.0486684811009564	0.0525741541724092	0.0478652717077346	0.037657747381692	0.0526855950466278	0.0426517036717297	0.0483248537256642	0.0527085036128715	0.0523632107790276	0.0399246341123437	0.0511475228869148	0.0469783907974683	0.0502651628370229	0.044282268092758	0.0485988785654219	0.0557336968316369
chr10	94781987	94782089	CYP2C19	0.0245881808890588	0.0316319662879878	0.0245550357724996	0.0239991265635963	0.0251158731181489	0.0244436367888363	0.0244450772488366	0.0292630546306337	0.0247971643064046	0.0242313305989192	0.0242565315125334	0.0249412022011026	0.0252875830686747	0.0236423092152709	0.0252370261185741	0.0235470246416073	0.0293703095456445	0.0247990405647222	0.0252494022105903	0.0244070862555243	0.0266474088854329	0.0239128076515046	0.0247927943384908	0.0319505196018146	0.0248510919825181	0.024129757811853	0.0318090855375884	0.0318513139955056	0.025360956330645	0.0299431632272018	0.0237297931142926	0.0248853679192766	0.0251828815917831	0.0244341611649041	0.0252095808527003
chr10	94842783	94842885	CYP2C19	0.0275942580686678	0.0296580245164112	0.0270597321373297	0.0262104765375944	0.0277235143494133	0.0279445739204862	0.0276629989105322	0.0279684046601588	0.0239220660078531	0.0281056597519191	0.026790681015509	0.0271519560580153	0.0275731805051282	0.0273106999359781	0.0281222204606916	0.0282884259938039	0.0278610169764854	0.0276135119862707	0.0224005390245072	0.0275538008935147	0.0280757372684255	0.0276835386624872	0.0279564605108779	0.0298673020702384	0.0280886318197154	0.0242877994042107	0.0299530473285142	0.029700199553945	0.0280194026502711	0.0284390673905459	0.0271649689906187	0.0270870759357422	0.0284400042092617	0.0276815858602613	0.022108801501476
